Date,Buy_Qty,Sell_Qty,Net_Qty,Buy_Amount,Sell_Amount,Net_Amount
2025-05-04,1164,160,1004,562752.0,77863.0,484889.0
2025-05-05,343,80,263,163031.0,38898.0,124133.0
2025-05-06,170,792,-622,81477.0,391990.0,-310513.0
2025-05-07,140,564,-424,70391.0,280280.0,-209889.0
2025-05-08,205,460,-255,103417.0,230865.0,-127448.0
2025-05-11,30,260,-230,15540.0,130617.0,-115077.0
2025-05-13,0,120,-120,0.0,59882.0,-59882.0
2025-05-14,130,3810,-3680,63520.0,1869965.0,-1806445.0
2025-05-15,100,60,40,47705.0,29139.0,18566.0
2025-05-18,30,420,-390,13950.0,197657.0,-183707.0
2025-05-19,207,722,-515,98741.0,344050.0,-245309.0
2025-05-20,886,560,326,425790.0,270348.0,155442.0
2025-05-21,1140,130,1010,557164.0,65481.0,491683.0
2025-05-22,200,250,-50,96350.0,121157.0,-24807.0
2025-05-25,60,80,-20,28356.0,38004.0,-9648.0
2025-05-26,385,280,105,183840.0,134328.0,49512.0
2025-05-27,14,70,-56,6720.0,33329.0,-26609.0
2025-05-28,366,110,256,175246.0,52694.0,122552.0
2025-06-02,388,239,149,183384.0,114635.0,68749.0
2025-06-03,840,1310,-470,390900.0,608105.0,-217205.0
2025-06-04,624,190,434,283985.0,86622.0,197363.0
2025-06-05,50,30,20,22798.0,13837.0,8961.0
2025-06-08,17,90,-73,7905.0,41935.0,-34030.0
2025-06-09,20,270,-250,9400.0,129692.0,-120292.0
2025-06-10,210,646,-436,104680.0,321786.0,-217106.0
2025-06-11,757,90,667,364509.0,43609.0,320900.0
2025-06-12,610,100,510,300580.0,48971.0,251609.0
2025-06-15,744,50,694,355663.0,23905.0,331758.0
2025-06-16,10,127,-117,4737.0,60782.0,-56045.0
2025-06-17,300,20,280,141000.0,9445.0,131555.0
2025-06-18,520,462,58,241780.0,216328.0,25452.0
2025-06-19,50,80,-30,22900.0,36842.0,-13942.0
2025-06-22,530,836,-306,247716.0,382958.0,-135242.0
2025-06-23,500,203,297,226500.0,92203.0,134297.0
2025-06-24,227,570,-343,103775.0,262475.0,-158700.0
2025-06-25,220,120,100,98218.0,55158.0,43060.0
2025-06-26,1824,400,1424,833930.0,183260.0,650670.0
2025-06-29,100,1039,-939,46500.0,479027.0,-432527.0
2025-06-30,20,2144,-2124,9202.0,988854.0,-979652.0
2025-07-01,0,220,-220,0.0,100971.0,-100971.0
2025-07-02,1420,90,1330,672451.0,42463.0,629988.0
2025-07-03,443,40,403,207451.0,18835.0,188616.0
2025-07-06,0,580,-580,0.0,277050.0,-277050.0
2025-07-07,1620,480,1140,781214.0,226937.0,554277.0
2025-07-08,47,137,-90,21864.0,63963.0,-42099.0
2025-07-09,1297,124,1173,631955.0,59755.0,572200.0
2025-07-10,1420,1430,-10,681518.0,683143.0,-1625.0
2025-07-13,220,1010,-790,104888.0,484470.0,-379582.0
2025-07-14,120,147,-27,56020.0,69169.0,-13149.0
2025-07-15,385,2290,-1905,179391.0,1067543.0,-888152.0
2025-07-16,765,1180,-415,363073.0,555647.0,-192574.0
2025-07-17,412,410,2,203414.0,199520.0,3894.0
2025-07-20,1023,1838,-815,516957.0,939841.0,-422884.0
2025-07-21,142,2605,-2463,71828.0,1335798.0,-1263970.0
2025-07-22,1575,855,720,831055.0,452969.0,378086.0
2025-07-23,1718,1253,465,893993.0,650759.0,243234.0
2025-07-24,570,337,233,299370.0,177047.0,122323.0
2025-07-27,1273,1460,-187,660435.0,756654.0,-96219.0
2025-07-28,180,1289,-1109,91339.0,651242.0,-559903.0
2025-07-29,752,1338,-586,386798.0,693191.0,-306393.0
2025-07-30,740,133,607,373610.0,67843.0,305767.0
2025-07-31,210,855,-645,105730.0,432065.0,-326335.0
2025-08-03,1433,291,1142,723342.0,147875.0,575467.0
2025-08-04,150,1140,-990,75188.0,566553.0,-491365.0
2025-08-05,290,320,-30,142821.0,159117.0,-16296.0
2025-08-06,505,60,445,245438.0,29226.0,216212.0
2025-08-07,0,140,-140,0.0,68652.0,-68652.0
2025-08-11,500,873,-373,243322.0,427617.0,-184295.0
2025-08-12,40,380,-340,19164.0,183586.0,-164422.0
2025-08-13,347,350,-3,169680.0,173681.0,-4001.0
2025-08-14,90,63,27,43585.0,30459.0,13126.0
2025-08-17,40,345,-305,19440.0,169352.0,-149912.0
2025-08-18,3029,3276,-247,1552733.0,1659135.0,-106402.0
2025-08-19,2356,967,1389,1224034.0,502629.0,721405.0
2025-08-20,625,490,135,316374.0,248150.0,68224.0
2025-08-21,1300,720,580,649647.0,356369.0,293278.0
2025-08-24,41,370,-329,19926.0,179439.0,-159513.0
2025-08-25,249,100,149,122050.0,48944.0,73106.0
2025-08-26,10,147,-137,4890.0,71619.0,-66729.0
2025-08-27,0,180,-180,0.0,89475.0,-89475.0
2025-08-28,367,70,297,182665.0,34549.0,148116.0
2025-08-31,80,130,-50,38840.0,63087.0,-24247.0
2025-09-01,10,365,-355,4870.0,176636.0,-171766.0
2025-09-02,27,385,-358,12998.0,185785.0,-172787.0
2025-09-03,353,80,273,170600.0,38380.0,132220.0
2025-09-04,1567,480,1087,730227.0,224209.0,506018.0
2025-09-07,551,30,521,253161.0,13787.0,239374.0
2025-09-08,245,558,-313,112395.0,252597.0,-140202.0
2025-09-21,180,125,55,80866.0,55571.0,25295.0
2025-09-23,10,50,-40,4690.0,23268.0,-18578.0
2025-09-24,0,70,-70,0.0,33075.0,-33075.0
2025-09-25,89,40,49,42444.0,19161.0,23283.0
2025-09-28,10,24,-14,4780.0,11411.0,-6631.0
2025-10-07,0,267,-267,0.0,125410.0,-125410.0
2025-10-08,205,40,165,94383.0,17997.0,76386.0
2025-10-09,1240,60,1180,573400.0,27693.0,545707.0
2025-10-12,55,245,-190,24783.0,109794.0,-85011.0
2025-10-13,63,212,-149,28165.0,94348.0,-66183.0
2025-10-14,10,30,-20,4447.0,13415.0,-8968.0
2025-10-15,430,223,207,184821.0,97131.0,87690.0
2025-10-16,172,0,172,73186.0,0.0,73186.0
2025-10-19,673,0,673,283806.0,0.0,283806.0
2025-10-26,90,2074,-1984,37210.0,865469.0,-828259.0
2025-10-28,0,831,-831,0.0,352715.0,-352715.0
2025-10-29,10,11,-1,4439.0,4857.0,-418.0
2025-10-30,405,540,-135,178395.0,239384.0,-60989.0
2025-11-02,10,363,-353,4530.0,163635.0,-159105.0
2025-11-03,0,10,-10,0.0,4490.0,-4490.0
2025-11-04,0,510,-510,0.0,222514.0,-222514.0
2025-11-05,135,40,95,58450.0,17459.0,40991.0
